Entry,Entry name,Status,Protein names,Gene names,Organism,Virus hosts,Pathway
A0A1V0K0T1,A0A1V0K0T1_9NIDO,unreviewed,Spike protein,,Porcine deltacoronavirus,,
A0A0U2P9C9,A0A0U2P9C9_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
A0A0A0Q4V1,A0A0A0Q4V1_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
A0A2P1ITI1,A0A2P1ITI1_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
A0A1B0V354,A0A1B0V354_9BETC,unreviewed,ORF1a,orf1ab,Middle East respiratory syndrome-related coronavirus,,
A0A141LLA8,A0A141LLA8_9BETC,unreviewed,ORF1a,ORF1a orf1ab,Middle East respiratory syndrome-related coronavirus,,
S4WMK3,S4WMK3_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Bovine coronavirus,,
Q8JMI7,Q8JMI7_9GAMC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Infectious bronchitis virus,,
C5IG90,C5IG90_9ALPC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Feline coronavirus,,
A0A125R5E8,A0A125R5E8_9ALPC,unreviewed,Orf1a polyprotein,,Feline coronavirus,,
A0A2H5BX47,A0A2H5BX47_9ALPC,unreviewed,Non-structural protein 7b,,Feline coronavirus,,
A0A0K0KQ87,A0A0K0KQ87_CVHOC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A2D1QW26,A0A2D1QW26_CVHOC,unreviewed,ORF1a polyprotein,ORF1a,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A023PND5,A0A023PND5_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
A0A088NRV6,A0A088NRV6_9ALPC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Feline coronavirus,,
A0A5B9MUX5,A0A5B9MUX5_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A385H7F6,A0A385H7F6_CVHOC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
C5IG93,C5IG93_9ALPC,unreviewed,Accessory protein 7a,7a,Feline coronavirus,,
A0A3Q9K3V9,A0A3Q9K3V9_9BETC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Bovine coronavirus,,
Q2I1A5,Q2I1A5_9GAMC,unreviewed,Nucleoprotein,N,Infectious bronchitis virus,,
Q64FY9,Q64FY9_9GAMC,unreviewed,5a protein,5a,Infectious bronchitis virus,,
Q4JDN3,Q4JDN3_CVHSA,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,SARS coronavirus B039,,
D2E1F7,D2E1F7_CVHSA,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,SARS coronavirus wtic-MB,,
A0A481S1A3,A0A481S1A3_9BETC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Bovine coronavirus,,
A0A385H606,A0A385H606_CVHOC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A481S1B0,A0A481S1B0_9BETC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Bovine coronavirus,,
K7RWV4,K7RWV4_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
U3M733,U3M733_CVHOC,unreviewed,Replicase polyprotein 1a,Pp1a,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A0U2GRC3,A0A0U2GRC3_CVH22,unreviewed,Polyprotein ORF1ab,orf1ab,Camel alphacoronavirus,,
A0A291B669,A0A291B669_9GAMC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Avian coronavirus,,
J9WTZ0,J9WTZ0_9GAMC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Infectious bronchitis virus,,
J9WTZ7,J9WTZ7_9GAMC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Infectious bronchitis virus,,
J9SFL2,J9SFL2_CVHSA,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),Homo sapiens (Human) [TaxID: 9606]; Paguma larvata (Masked palm civet) [TaxID: 9675],
A0A2P1ZWW3,A0A2P1ZWW3_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
F2YCW3,F2YCW3_CVHSA,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,SARS coronavirus MA15 ExoN1,,
Q4U3S0,Q4U3S0_9BETC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Bovine coronavirus,,
U3M6U5,U3M6U5_CVHNL,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein),S,Human coronavirus NL63 (HCoV-NL63),Homo sapiens (Human) [TaxID: 9606],
A0A1S5VGG9,A0A1S5VGG9_CVHOC,unreviewed,Replicase polyprotein 1ab,orf1ab,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
F1CNZ2,F1CNZ2_9ALPC,unreviewed,Nucleoprotein,N,Transmissible gastroenteritis virus,,
M9WRP3,M9WRP3_9GAMC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Infectious bronchitis virus,,
A0A4D6SZA1,A0A4D6SZA1_9ALPC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein),S,Porcine epidemic diarrhea virus,,
A0A4D6FDE2,A0A4D6FDE2_9ALPC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein),S,Porcine epidemic diarrhea virus,,
A0A384VAI0,A0A384VAI0_9ALPC,unreviewed,Non-structural protein 7,NSP7,Transmissible gastroenteritis virus,,
A0A2D1PXC9,A0A2D1PXC9_CVHSA,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Bat SARS-like coronavirus,,
K0FBV0,K0FBV0_9ALPC,unreviewed,Nucleoprotein,N,Porcine epidemic diarrhea virus,,
A0A4D6FBN5,A0A4D6FBN5_9ALPC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein),S,Porcine epidemic diarrhea virus,,
A5Z149,A5Z149_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
A7UAH4,A7UAH4_9ALPC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Porcine epidemic diarrhea virus,,
A0A4V1E460,A0A4V1E460_9NIDO,unreviewed,Spike glycoprotein (Spike protein),S,Porcine deltacoronavirus,,
Q4VID3,Q4VID3_CVHOC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
U3M822,U3M822_CVHOC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
G5CJB7,G5CJB7_CVHOC,unreviewed,Non-structural protein 2a (ns2a) (ns2),ns2a NS2a,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A0K0L8E6,A0A0K0L8E6_CVHOC,unreviewed,Replicase polyprotein 1ab,orf1ab,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A0B4N716,A0A0B4N716_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A2D0Y7A6,A0A2D0Y7A6_9BETC,unreviewed,1AB polyprotein,orf1ab,Middle East respiratory syndrome-related coronavirus,,
A0A0A7E7M2,A0A0A7E7M2_9BETC,unreviewed,1AB polyprotein (ORF1ab protein),orf1ab,Middle East respiratory syndrome-related coronavirus,,
A0A384QXL8,A0A384QXL8_CVH22,unreviewed,Spike glycoprotein,S,Human coronavirus 229E (HCoV-229E),Homo sapiens (Human) [TaxID: 9606],
A0A1L2DZI6,A0A1L2DZI6_9BETC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Middle East respiratory syndrome-related coronavirus,,
F1AEX5,F1AEX5_HBV,unreviewed,Middle S protein (PreS2 protein),S PreS2,Hepatitis B virus (HBV),Homo sapiens (Human) [TaxID: 9606]; Pan troglodytes (Chimpanzee) [TaxID: 9598],
A0A141LLD8,A0A141LLD8_9BETC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Middle East respiratory syndrome-related coronavirus,,
A0A0U2GMX5,A0A0U2GMX5_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
A0A493R163,A0A493R163_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
O72005,O72005_9BETC,unreviewed,Envelope small membrane protein (E protein) (sM protein),5b E,Murine hepatitis virus,,
D2E268,D2E268_CVHSA,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,SARS coronavirus MA15,,
A0A2U9A1G8,A0A2U9A1G8_9NIDO,unreviewed,Spike protein,,Porcine deltacoronavirus,,
A0A2P1G738,A0A2P1G738_9NIDO,unreviewed,Orf1ab polyprotein (Polyprotein 1ab),orf1ab ORF1ab,Swine acute diarrhea syndrome coronavirus,,
A0A0K0L9P3,A0A0K0L9P3_CVHOC,unreviewed,Replicase polyprotein 1ab,orf1ab,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
Q91SA1,Q91SA1_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
K9LVK5,K9LVK5_9GAMC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Infectious bronchitis virus,,
D2E1E5,D2E1E5_CVHSA,unreviewed,Orf1ab polyprotein (Polyprotein orf1ab),,SARS coronavirus wtic-MB,,
H6WEN6,H6WEN6_9GAMC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E 3c,Infectious bronchitis virus,,
Q910H8,Q910H8_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
Q6J1D6,Q6J1D6_9GAMC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Infectious bronchitis virus,,
C1KAC6,C1KAC6_9GAMC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Infectious bronchitis virus,,
U3M7Q6,U3M7Q6_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A3G3NH50,A0A3G3NH50_9BETC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Betacoronavirus sp.,,
K7WB43,K7WB43_9ALPC,unreviewed,ORF3 (ORF3 protein),ORF3,Porcine epidemic diarrhea virus,,
A0A221ZTN6,A0A221ZTN6_9ALPC,unreviewed,Nucleoprotein,,Porcine epidemic diarrhea virus,,
C1KEX5,C1KEX5_9GAMC,unreviewed,5a protein,,Infectious bronchitis virus CK/CH/LHLJ/04V,,
A0A2P1ZWW2,A0A2P1ZWW2_CVHOC,unreviewed,N2 protein,N2,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A1V0E0X1,A0A1V0E0X1_CVHOC,unreviewed,Replicase polyprotein 1ab,,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
V9PIY0,V9PIY0_9ALPC,unreviewed,Nucleoprotein,N,Feline infectious peritonitis virus,,
A0A0B4N6A4,A0A0B4N6A4_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A1E1ERK1,A0A1E1ERK1_9BETC,unreviewed,Non-structural protein 2a (Ns2 phosphorylated protein),ns2 NS2,Porcine hemagglutinating encephalomyelitis virus,,
A0A1V0IGA4,A0A1V0IGA4_9BETC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Porcine hemagglutinating encephalomyelitis virus,,
A0A0K0KPI4,A0A0K0KPI4_CVHOC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A140ES45,A0A140ES45_9NIDO,unreviewed,Polyprotein,,Porcine deltacoronavirus,,
Q9J3E4,Q9J3E4_9BETC,unreviewed,Non-structural protein (ORF5a protein),ORF5A,Murine hepatitis virus,,
C6ZQJ9,C6ZQJ9_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Canine respiratory coronavirus,,
A0A411PBM9,A0A411PBM9_9BETC,unreviewed,ORF1a,orf1ab,Middle East respiratory syndrome-related coronavirus,,
A0A140AYW3,A0A140AYW3_9BETC,unreviewed,1AB polyprotein (Orf1ab) (Polyprotein orf1ab),orf1ab,Middle East respiratory syndrome-related coronavirus,,
A0A0U2GP61,A0A0U2GP61_9BETC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Middle East respiratory syndrome-related coronavirus,,
A0A0A7E6B8,A0A0A7E6B8_9BETC,unreviewed,1A polyprotein (ORF1a protein),orf1ab,Middle East respiratory syndrome-related coronavirus,,
A0A191KB38,A0A191KB38_9BETC,unreviewed,1AB polyprotein (ORF1ab),orf1ab,Middle East respiratory syndrome-related coronavirus,,
D3KDN4,D3KDN4_CVHSA,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,SARS coronavirus HKU-39849,,
E7E039,E7E039_9ALPC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Canine coronavirus,,
A0A482K8T8,A0A482K8T8_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A224AU30,A0A224AU30_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A7BKC1,A7BKC1_9BETC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Bovine coronavirus,,
A0A0U2GMN8,A0A0U2GMN8_CVH22,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein),S,Camel alphacoronavirus,,
A0A2H4ECQ2,A0A2H4ECQ2_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
B3GPG8,B3GPG8_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
A5Z196,A5Z196_9GAMC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E 3c,Infectious bronchitis virus,,
A0A2R4H2J1,A0A2R4H2J1_9ALPC,unreviewed,Polyprotein ORF1a,,Porcine epidemic diarrhea virus,,
A0A191TBR1,A0A191TBR1_9ALPC,unreviewed,Polyprotein,ORF1a b,Porcine epidemic diarrhea virus,,
A0A5J6VCX6,A0A5J6VCX6_9ALPC,unreviewed,ORF3 protein,,Porcine epidemic diarrhea virus,,
G8GMZ2,G8GMZ2_9ALPC,unreviewed,Nucleoprotein,,Porcine epidemic diarrhea virus,,
Q784K3,Q784K3_HBV,unreviewed,Capsid protein (Core antigen) (Core protein) (HBcAg) (p21.5),C PreC,Hepatitis B virus (HBV),Homo sapiens (Human) [TaxID: 9606]; Pan troglodytes (Chimpanzee) [TaxID: 9598],
A0A0K0KPP1,A0A0K0KPP1_CVHOC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A1Z3FR08,A0A1Z3FR08_9BETC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Porcine hemagglutinating encephalomyelitis virus,,
A0A1V0PL27,A0A1V0PL27_CVHOC,unreviewed,Replicase polyprotein 1ab,,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A0B4N7G5,A0A0B4N7G5_CVHOC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
K4JZP8,K4JZP8_9ALPC,unreviewed,Spike glycoprotein,S,Hipposideros bat coronavirus HKU10,,
A0A068EM69,A0A068EM69_9BETC,unreviewed,ORF1ab,,Middle East respiratory syndrome-related coronavirus,,
A0A0K0L8L6,A0A0K0L8L6_CVHOC,unreviewed,Replicase polyprotein 1ab,orf1ab,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
U3M7B2,U3M7B2_CVHOC,unreviewed,Replicase polyprotein 1a,Pp1a,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
Q805I0,Q805I0_9GAMC,unreviewed,5a (5a protein) (ORF 5a) (ORF5a),5a 5 ORF5a,Infectious bronchitis virus,,
A0A145YP65,A0A145YP65_9NIDO,unreviewed,Polyprotein 1a,,Porcine deltacoronavirus,,
U3M7A8,U3M7A8_CVHOC,unreviewed,Replicase polyprotein 1a,Pp1a,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
I0B0S7,I0B0S7_9ALPC,unreviewed,Protein 7b,ORF7b,Feline infectious peritonitis virus,,
V9PIU7,V9PIU7_9ALPC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein),S,Feline infectious peritonitis virus,,
G5CJB0,G5CJB0_CVHOC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A0K0L9L5,A0A0K0L9L5_CVHOC,unreviewed,Replicase polyprotein 1ab,orf1ab,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A1L7HHF0,A0A1L7HHF0_HBV,unreviewed,S protein,S,Hepatitis B virus (HBV),Homo sapiens (Human) [TaxID: 9606]; Pan troglodytes (Chimpanzee) [TaxID: 9598],
A0A1W5LGP4,A0A1W5LGP4_9BETC,unreviewed,ORF1ab,orf1ab,Middle East respiratory syndrome-related coronavirus,,
W6A8L3,W6A8L3_9BETC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Middle East respiratory syndrome-related coronavirus,,
A0A140AZ05,A0A140AZ05_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
D2E235,D2E235_CVHSA,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,SARS coronavirus MA15 ExoN1,,
B3VN14,B3VN14_9GAMC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Infectious bronchitis virus,,
U3M740,U3M740_CVHOC,unreviewed,Replicase polyprotein 1ab,Pp1ab,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
G3C7D5,G3C7D5_9GAMC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Infectious bronchitis virus,,
Q2I0J9,Q2I0J9_9ALPC,unreviewed,Nucleoprotein,N,Porcine epidemic diarrhea virus,,
U6BPB1,U6BPB1_9ALPC,unreviewed,Polyprotein 1a,ORF1a,Porcine epidemic diarrhea virus,,
S0API7,S0API7_9ALPC,unreviewed,ORF3 protein,ORF3,Porcine epidemic diarrhea virus,,
H9U7E9,H9U7E9_9ALPC,unreviewed,Non-structural protein (ORF3 protein),,Porcine epidemic diarrhea virus,,
A0A2K9VP29,A0A2K9VP29_9ALPC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein),S,Porcine epidemic diarrhea virus,,
A0A0B4UEK1,A0A0B4UEK1_CVHOC,unreviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A0B4UE97,A0A0B4UE97_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
W6A090,W6A090_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
R9UQN1,R9UQN1_9BETC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E M AL079_478421_E,Middle East respiratory syndrome-related coronavirus,,
A0A2D0Y3K9,A0A2D0Y3K9_9BETC,unreviewed,1AB polyprotein,orf1ab,Middle East respiratory syndrome-related coronavirus,,
A0A1W5LGJ4,A0A1W5LGJ4_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
V5RD56,V5RD56_9BETC,unreviewed,ORF1a,,Middle East respiratory syndrome-related coronavirus,,
A0A0A7E695,A0A0A7E695_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
O57308,O57308_HBV,unreviewed,HBsAg (S protein) (Small S protein) (Small surface antigen) (Surface antigen),S HBsAg,Hepatitis B virus (HBV),Homo sapiens (Human) [TaxID: 9606]; Pan troglodytes (Chimpanzee) [TaxID: 9598],
A0A0B5KTJ9,A0A0B5KTJ9_9BETC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Middle East respiratory syndrome-related coronavirus,,
A0A0U2GLD0,A0A0U2GLD0_9BETC,unreviewed,Polyprotein ORF1a,orf1a,Middle East respiratory syndrome-related coronavirus,,
A0A2D0YE83,A0A2D0YE83_9BETC,unreviewed,1A polyprotein,orf1ab,Middle East respiratory syndrome-related coronavirus,,
D2E2G4,D2E2G4_CVHSA,unreviewed,Orf1ab polyprotein,,SARS coronavirus MA15,,
I7AZ79,I7AZ79_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
C5IGA4,C5IGA4_9ALPC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein),S,Feline coronavirus,,
A0A1L7H970,A0A1L7H970_9GAMC,unreviewed,Envelope small membrane protein (E protein) (sM protein),3c E,Infectious bronchitis virus,,
A0A2H5BX17,A0A2H5BX17_9ALPC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Feline coronavirus,,
C5IGF2,C5IGF2_9ALPC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Feline coronavirus,,
V5U9T5,V5U9T5_9GAMC,unreviewed,Envelope small membrane protein (E protein) (sM protein),3 3c E,Infectious bronchitis virus,,
C0LT95,C0LT95_9GAMC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Infectious bronchitis virus,,
C5IGH0,C5IGH0_9ALPC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Feline coronavirus,,
C5IGB1,C5IGB1_9ALPC,unreviewed,Accessory protein 7a,7a,Feline coronavirus,,
A0A5B9MUK4,A0A5B9MUK4_CVHOC,unreviewed,Nucleoprotein (Nucleocapsid protein) (NC) (Protein N),N,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A5B9MWF9,A0A5B9MWF9_CVHOC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A5B9MRE7,A0A5B9MRE7_CVHOC,unreviewed,Replicase polyprotein 1ab,,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
A0A5B9MU15,A0A5B9MU15_CVHOC,unreviewed,Replicase polyprotein 1a,,Human coronavirus OC43 (HCoV-OC43),Homo sapiens (Human) [TaxID: 9606],
